_numIter = 100000
iterationID	sequenceID	eventID	loss	reinstatementPrem	riskGroup	fullRip
157	9000001	9000002	1472530.635	0	Noncat	0
158	9000001	9000002	130738.632	0	Noncat	0
160	9000001	9000002	1413885.279	0	Noncat	0
161	9000001	9000002	1292948.468	0	Noncat	0
163	9000001	9000002	151174.902	0	Noncat	0
164	9000001	9000002	712367.08	0	Noncat	0
165	9000001	9000002	396703.857	0	Noncat	0
166	281005	5001001	1001192.611	0	CatNonGOM	0
166	9000001	9000002	23469.346	0	Noncat	0
167	9000001	9000002	265054.508	0	Noncat	0
170	9000001	9000002	158250.513	0	Noncat	0
173	9000001	9000002	1125000.045	0	Noncat	0
174	9000001	9000002	340048.205	0	Noncat	0
175	9000001	9000002	33562.015	0	Noncat	0
176	9000001	9000002	22009.447	0	Noncat	0
178	9000001	9000002	838993.783	0	Noncat	0
179	9000001	9000002	161026.523	0	Noncat	0
180	9000001	9000002	1768221.851	0	Noncat	0
182	9000001	9000002	1372825.734	0	Noncat	0
183	9000001	9000002	719165.612	0	Noncat	0
184	9000001	9000002	397637.179	0	Noncat	0
185	9000001	9000002	2250000.09	0	Noncat	0
186	9000001	9000002	468280.716	0	Noncat	0
188	9000001	9000002	2250000.09	0	Noncat	0
189	9000001	9000002	47723.999	0	Noncat	0
190	9000001	9000002	580568.503	0	Noncat	0
191	9000001	9000002	1443022.533	0	Noncat	0
192	9000001	9000002	1125000.045	0	Noncat	0
194	9000001	9000002	662531.655	0	Noncat	0
196	9000001	9000002	745863.978	0	Noncat	0
198	9000001	9000002	1125000.045	0	Noncat	0
199	9000001	9000002	202388.022	0	Noncat	0
201	9000001	9000002	210290.499	0	Noncat	0
205	9000001	9000002	856996.222	0	Noncat	0
206	9000001	9000002	8091.811	0	Noncat	0
207	9000001	9000002	1125000.045	0	Noncat	0
208	9000001	9000002	1125000.045	0	Noncat	0
209	9000001	9000002	1125000.045	0	Noncat	0
212	9000001	9000002	21074.619	0	Noncat	0
218	9000001	9000002	25638.098	0	Noncat	0
219	9000001	9000002	659494.015	0	Noncat	0
220	9000001	9000002	1129695.335	0	Noncat	0
222	9000001	9000002	349787.232	0	Noncat	0
223	9000001	9000002	631620.017	0	Noncat	0
225	9000001	9000002	768064.614	0	Noncat	0
226	9000001	9000002	1233136.462	0	Noncat	0
227	9000001	9000002	1125000.045	0	Noncat	0
229	9000001	9000002	925308.753	0	Noncat	0
230	9000001	9000002	1173266.217	0	Noncat	0
234	9000001	9000002	105747.796	0	Noncat	0
236	9000001	9000002	1046.097	0	Noncat	0
237	9000001	9000002	1125000.045	0	Noncat	0
239	9000001	9000002	1125000.045	0	Noncat	0
242	9000001	9000002	1146949.698	0	Noncat	0
243	9000001	9000002	3198374.166	88767.808	Noncat	0
245	9000001	9000002	381640.211	0	Noncat	0
246	9000001	9000002	1125000.045	0	Noncat	0
248	9000001	9000002	108035.036	0	Noncat	0
249	9000001	9000002	62003.896	0	Noncat	0
250	9000001	9000002	139521.654	0	Noncat	0
251	9000001	9000002	1125000.045	0	Noncat	0
252	9000001	9000002	1125000.045	0	Noncat	0
254	9000001	9000002	1125000.045	0	Noncat	0
257	9005	5001001	248774.859	0	CatNonGOM	0
257	9000001	9000002	168187.98	0	Noncat	0
259	9000001	9000002	858044.804	0	Noncat	0
260	9000001	9000002	672782.622	0	Noncat	0
262	9000001	9000002	255116.168	0	Noncat	0
