iterationID	ALLZONE	AsiaWS	CAEQ	CatNonGOM	ChinaEQ	EuropeEQ	GMWS	JapanEQ	Noncat	PNWEQ	TaiwanEQ	USEQ
53717	0	0	0	0	0	0	0	0	0	0	0	0
53718	2.25e+006	0	0	0	0	0	0	0	2.25e+006	0	0	0
53719	1.93027e+006	0	0	0	0	0	0	0	1.93027e+006	0	0	0
53720	918543	0	0	0	0	0	0	0	918543	0	0	0
53721	0	0	0	0	0	0	0	0	0	0	0	0
53722	0	0	0	0	0	0	0	0	0	0	0	0
53723	3.2639e+006	0	0	0	0	0	0	0	3.2639e+006	0	0	0
53724	323654	0	0	0	0	0	0	0	323654	0	0	0
53725	674809	0	0	0	0	0	0	0	674809	0	0	0
53726	54619.3	0	0	0	0	0	0	0	54619.3	0	0	0
53727	0	0	0	0	0	0	0	0	0	0	0	0
53728	220404	0	0	0	0	0	0	0	220404	0	0	0
53729	0	0	0	0	0	0	0	0	0	0	0	0
53730	321488	0	0	0	0	0	0	0	321488	0	0	0
53731	480022	0	0	0	0	0	0	0	480022	0	0	0
53732	114074	0	0	0	0	0	0	0	114074	0	0	0
53733	0	0	0	0	0	0	0	0	0	0	0	0
53734	918873	0	0	0	0	0	0	0	918873	0	0	0
53735	0	0	0	0	0	0	0	0	0	0	0	0
53736	0	0	0	0	0	0	0	0	0	0	0	0
53737	0	0	0	0	0	0	0	0	0	0	0	0
53738	215453	0	0	215453	0	0	0	0	0	0	0	0
53739	1.26716e+006	0	0	0	0	0	0	0	1.26716e+006	0	0	0
53740	0	0	0	0	0	0	0	0	0	0	0	0
53741	0	0	0	0	0	0	0	0	0	0	0	0
53742	1.125e+006	0	0	0	0	0	0	0	1.125e+006	0	0	0
53743	1.125e+006	0	0	0	0	0	0	0	1.125e+006	0	0	0
53744	2.25e+006	0	0	0	0	0	0	0	2.25e+006	0	0	0
53745	80382.7	0	0	0	0	0	0	0	80382.7	0	0	0
53746	82732.5	0	0	0	0	0	0	0	82732.5	0	0	0
