eventId	deterministicLoss	expectedLoss	SD	0.5	0.8	0.9	0.96	0.98	0.99	0.995	0.996	0.999	0.9998	0.9999
15564329	2e+007	2e+007	0	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007
15567485	2e+007	1.24398e+007	8.96816e+006	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007
15569196	2e+007	2e+007	0	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007
15590381	2e+007	2e+007	0	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007
25141185	2e+007	2e+007	0	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007
25141188	2e+007	2e+007	0	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007
25141192	2e+007	2e+007	0	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007
25141194	2e+007	2e+007	0	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007
25141196	2e+007	2e+007	0	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007
25141197	2e+007	2e+007	0	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007
25141198	2e+007	1.99983e+007	154582	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007
25141199	2e+007	1.99965e+007	208888	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007
25141201	2e+007	2e+007	0	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007
25141210	2e+007	2e+007	0	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007
25141213	2e+007	2e+007	0	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007
25141214	2e+007	2e+007	0	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007
25141218	2e+007	2e+007	0	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007
25141225	2e+007	2e+007	0	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007
25141229	2e+007	2e+007	0	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007	2e+007
